Domaine,Zone,Élément,Produit,Année,Valeur
"Bilans Alimentaires (2010-)","Afghanistan","Production","Blé et produits","2017","4281"
"Bilans Alimentaires (2010-)","Afghanistan","Importations - Quantité","Blé et produits","2017","3080"
"Bilans Alimentaires (2010-)","Afghanistan","Variation de stock","Blé et produits","2017","208"
"Bilans Alimentaires (2010-)","Afghanistan","Exportations - Quantité","Blé et produits","2017","2"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Blé et produits","2017","7151"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Blé et produits","2017","221"
"Bilans Alimentaires (2010-)","Afghanistan","Semences","Blé et produits","2017","344"
"Bilans Alimentaires (2010-)","Afghanistan","Pertes","Blé et produits","2017","642"
"Bilans Alimentaires (2010-)","Afghanistan","Résidus","Blé et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Blé et produits","2017","5944"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Blé et produits","2017","163.76"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Blé et produits","2017","1404"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Blé et produits","2017","37.79"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Blé et produits","2017","5.08"
"Bilans Alimentaires (2010-)","Afghanistan","Production","Riz et produits","2017","338"
"Bilans Alimentaires (2010-)","Afghanistan","Importations - Quantité","Riz et produits","2017","415"
"Bilans Alimentaires (2010-)","Afghanistan","Variation de stock","Riz et produits","2017","15"
"Bilans Alimentaires (2010-)","Afghanistan","Exportations - Quantité","Riz et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Riz et produits","2017","739"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Riz et produits","2017","4"
"Bilans Alimentaires (2010-)","Afghanistan","Semences","Riz et produits","2017","11"
"Bilans Alimentaires (2010-)","Afghanistan","Pertes","Riz et produits","2017","24"
"Bilans Alimentaires (2010-)","Afghanistan","Résidus","Riz et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Riz et produits","2017","700"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Riz et produits","2017","19.28"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Riz et produits","2017","181"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Riz et produits","2017","3.44"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Riz et produits","2017","0.36"
"Bilans Alimentaires (2010-)","Afghanistan","Production","Orge et produits","2017","95"
"Bilans Alimentaires (2010-)","Afghanistan","Importations - Quantité","Orge et produits","2017","15"
"Bilans Alimentaires (2010-)","Afghanistan","Variation de stock","Orge et produits","2017","-40"
"Bilans Alimentaires (2010-)","Afghanistan","Exportations - Quantité","Orge et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Orge et produits","2017","150"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Orge et produits","2017","67"
"Bilans Alimentaires (2010-)","Afghanistan","Semences","Orge et produits","2017","11"
"Bilans Alimentaires (2010-)","Afghanistan","Pertes","Orge et produits","2017","14"
"Bilans Alimentaires (2010-)","Afghanistan","Résidus","Orge et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Orge et produits","2017","58"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Orge et produits","2017","1.61"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Orge et produits","2017","14"
